,Fecha,Altura_pronosticada,Fecha_Prono,Altura_observada,Anticipacion_hs,Error_absoluto,Error_relativo_%
2,2025-04-11 20:00:00,1.1,2025-04-11 20:00:00,1.205,0.0,0.10499999999999998,8.713692946058089
4,2025-04-12 03:00:00,0.5,2025-04-11 20:00:00,0.5599999999999999,7.0,0.05999999999999994,10.714285714285706
6,2025-04-12 14:00:00,0.1,2025-04-12 00:00:00,0.052500000000000005,14.0,0.0475,-90.47619047619047
24,2025-04-12 21:00:00,0.9,2025-04-12 07:00:00,0.6775,14.0,0.22250000000000003,-32.84132841328414
23,2025-04-12 21:00:00,0.75,2025-04-12 18:00:00,0.6775,3.0,0.07250000000000001,-10.701107011070112
26,2025-04-13 03:00:00,0.35,2025-04-13 01:00:00,0.40249999999999997,2.0,0.05249999999999999,13.043478260869565
27,2025-04-13 04:30:00,0.2,2025-04-12 18:00:00,0.6875,10.5,0.4875,70.9090909090909
29,2025-04-13 08:00:00,0.9,2025-04-13 01:00:00,1.1875,7.0,0.2875,24.21052631578947
33,2025-04-13 14:30:00,0.6,2025-04-13 01:00:00,0.795,13.5,0.19500000000000006,24.52830188679246
34,2025-04-13 15:00:00,0.9,2025-04-13 13:00:00,0.8250000000000001,2.0,0.07499999999999996,-9.090909090909085
35,2025-04-13 21:00:00,1.9,2025-04-13 13:00:00,1.6275,8.0,0.27249999999999996,-16.743471582181257
36,2025-04-13 21:00:00,1.8,2025-04-13 18:00:00,1.6275,3.0,0.1725000000000001,-10.599078341013831
37,2025-04-14 04:30:00,1.3,2025-04-13 18:00:00,1.5474999999999999,10.5,0.24749999999999983,15.993537964458794
38,2025-04-14 16:00:00,0.9,2025-04-14 07:00:00,0.975,9.0,0.07499999999999996,7.692307692307688
39,2025-04-14 22:00:00,1.45,2025-04-14 07:00:00,1.555,15.0,0.10499999999999998,6.7524115755627
41,2025-04-14 22:30:00,1.4,2025-04-14 15:00:00,1.525,7.5,0.125,8.196721311475411
42,2025-04-15 04:00:00,0.9,2025-04-14 15:00:00,0.9575,13.0,0.057499999999999996,6.005221932114883
45,2025-04-15 04:30:00,0.95,2025-04-15 00:00:00,0.9325,4.5,0.01749999999999996,-1.8766756032171539
46,2025-04-15 09:00:00,1.25,2025-04-15 00:00:00,1.33,9.0,0.08000000000000007,6.015037593984967
51,2025-04-15 16:00:00,0.6,2025-04-15 00:00:00,0.6375,16.0,0.03749999999999998,5.8823529411764675
53,2025-04-15 17:00:00,0.6,2025-04-15 11:00:00,0.7075,6.0,0.10750000000000004,15.194346289752655
54,2025-04-15 22:00:00,1.0,2025-04-15 18:00:00,1.3325,4.0,0.3325,24.953095684803003
57,2025-04-15 23:00:00,1.1,2025-04-15 11:00:00,1.3375000000000001,12.0,0.23750000000000004,17.757009345794394
58,2025-04-16 05:00:00,0.6,2025-04-15 18:00:00,0.67,11.0,0.07000000000000006,10.447761194029859
59,2025-04-16 05:00:00,0.7,2025-04-16 00:00:00,0.67,5.0,0.029999999999999916,-4.477611940298495
64,2025-04-16 10:00:00,1.2,2025-04-16 00:00:00,1.0725,10.0,0.12749999999999995,-11.888111888111883
68,2025-04-16 17:00:00,0.5,2025-04-16 00:00:00,0.48,17.0,0.020000000000000018,-4.1666666666666705
70,2025-04-16 23:00:00,1.25,2025-04-16 18:00:00,1.3450000000000002,5.0,0.0950000000000002,7.063197026022318
71,2025-04-16 23:00:00,1.1,2025-04-16 10:00:00,1.3450000000000002,13.0,0.2450000000000001,18.215613382899633
73,2025-04-17 05:00:00,0.8,2025-04-16 18:00:00,0.75,11.0,0.050000000000000044,-6.666666666666672
74,2025-04-17 06:00:00,0.5,2025-04-17 00:00:00,0.5125,6.0,0.012499999999999956,2.439024390243894
75,2025-04-17 10:00:00,0.8,2025-04-17 08:00:00,0.965,2.0,0.16499999999999992,17.098445595854916
78,2025-04-17 11:00:00,0.85,2025-04-17 00:00:00,0.8675,11.0,0.01750000000000007,2.017291066282429
79,2025-04-17 18:30:00,0.2,2025-04-17 18:00:00,0.1375,0.5,0.0625,-45.45454545454545
81,2025-04-17 19:00:00,0.15,2025-04-17 08:00:00,0.16499999999999998,11.0,0.014999999999999986,9.090909090909085
83,2025-04-17 23:00:00,0.8,2025-04-17 18:00:00,0.99,5.0,0.18999999999999995,19.191919191919183
84,2025-04-18 06:30:00,0.3,2025-04-17 18:00:00,0.29500000000000004,12.5,0.004999999999999949,-1.6949152542372705
86,2025-04-18 11:00:00,1.1,2025-04-18 00:00:00,0.83,11.0,0.27000000000000013,-32.53012048192773
87,2025-04-19 12:00:00,2.1,2025-04-19 10:00:00,1.9425,2.0,0.1575000000000002,-8.10810810810812
88,2025-04-19 19:00:00,0.95,2025-04-19 10:00:00,1.1549999999999998,9.0,0.20499999999999985,17.74891774891774
89,2025-04-20 12:00:00,2.1,2025-04-20 10:00:00,1.8250000000000002,2.0,0.2749999999999999,-15.068493150684926
90,2025-04-20 19:30:00,1.0,2025-04-20 10:00:00,0.735,9.5,0.265,-36.054421768707485
92,2025-04-21 07:00:00,0.4,2025-04-20 16:00:00,0.3225,15.0,0.07750000000000001,-24.031007751937988
93,2025-04-21 13:00:00,0.8,2025-04-20 22:00:00,1.1025,15.0,0.3025,27.43764172335601
97,2025-04-21 21:00:00,0.3,2025-04-21 09:00:00,0.2075,12.0,0.0925,-44.57831325301205
99,2025-04-22 01:00:00,0.5,2025-04-21 22:00:00,0.415,3.0,0.08500000000000002,-20.48192771084338
100,2025-04-22 07:30:00,0.1,2025-04-21 22:00:00,-0.012499999999999999,9.5,0.1125,900.0000000000001
101,2025-04-22 14:00:00,1.0,2025-04-22 08:00:00,0.9525,6.0,0.04749999999999999,-4.986876640419945
104,2025-04-22 21:00:00,0.4,2025-04-22 08:00:00,0.9600000000000001,13.0,0.56,58.333333333333336
106,2025-04-23 02:00:00,0.8,2025-04-22 17:00:00,1.455,9.0,0.655,45.01718213058419
107,2025-04-23 02:00:00,1.4,2025-04-23 00:00:00,1.455,2.0,0.05500000000000016,3.7800687285223478
109,2025-04-23 08:00:00,0.5,2025-04-22 17:00:00,0.6499999999999999,15.0,0.1499999999999999,23.076923076923066
108,2025-04-23 08:00:00,0.7,2025-04-23 00:00:00,0.6499999999999999,8.0,0.050000000000000044,-7.6923076923077005
112,2025-04-23 15:00:00,1.2,2025-04-23 00:00:00,0.8525,15.0,0.3474999999999999,-40.76246334310849
111,2025-04-23 15:00:00,1.15,2025-04-23 09:00:00,0.8525,6.0,0.2974999999999999,-34.897360703812296
114,2025-04-23 22:00:00,0.2,2025-04-23 20:00:00,0.1075,2.0,0.09250000000000001,-86.046511627907
116,2025-04-23 22:00:00,0.35,2025-04-23 09:00:00,0.1075,13.0,0.2425,-225.58139534883722
117,2025-04-24 03:00:00,0.5,2025-04-23 20:00:00,0.62,7.0,0.12,19.35483870967742
