,Fecha,Altura_pronosticada,Fecha_Prono,Altura_observada,Anticipacion_hs,Error_absoluto,Error_relativo_%
4,2025-04-12 01:00:00,0.65,2025-04-11 20:00:00,0.7625,5.0,0.11249999999999993,14.75409836065573
6,2025-04-12 05:00:00,1.0,2025-04-11 20:00:00,0.7725,9.0,0.22750000000000004,-29.449838187702273
12,2025-04-12 12:00:00,0.3,2025-04-12 00:00:00,0.175,12.0,0.125,-71.42857142857143
22,2025-04-12 19:00:00,0.95,2025-04-12 07:00:00,0.8250000000000001,12.0,0.12499999999999989,-15.151515151515138
27,2025-04-12 19:00:00,0.8,2025-04-12 18:00:00,0.8250000000000001,1.0,0.025000000000000022,3.030303030303033
29,2025-04-13 01:00:00,0.5,2025-04-13 01:00:00,0.7075,0.0,0.20750000000000002,29.328621908127207
30,2025-04-13 03:00:00,0.35,2025-04-12 18:00:00,1.0175,9.0,0.6675000000000001,65.60196560196562
33,2025-04-13 06:00:00,1.0,2025-04-13 01:00:00,1.3,5.0,0.30000000000000004,23.07692307692308
35,2025-04-13 13:00:00,0.75,2025-04-13 01:00:00,1.1175000000000002,12.0,0.36750000000000016,32.885906040268466
34,2025-04-13 13:00:00,1.1,2025-04-13 13:00:00,1.1175000000000002,0.0,0.01750000000000007,1.5659955257270755
37,2025-04-13 19:00:00,1.9,2025-04-13 13:00:00,1.74,6.0,0.15999999999999992,-9.19540229885057
39,2025-04-14 03:00:00,1.5,2025-04-13 18:00:00,1.84,9.0,0.3400000000000001,18.478260869565222
40,2025-04-14 14:00:00,1.1,2025-04-14 07:00:00,1.1824999999999999,7.0,0.0824999999999998,6.976744186046495
41,2025-04-14 20:00:00,1.5,2025-04-14 07:00:00,1.455,13.0,0.04499999999999993,-3.092783505154634
42,2025-04-14 20:30:00,1.5,2025-04-14 15:00:00,1.4449999999999998,5.5,0.05500000000000016,-3.806228373702434
44,2025-04-15 02:00:00,1.0,2025-04-14 15:00:00,1.0375,11.0,0.03750000000000009,3.6144578313253093
46,2025-04-15 02:30:00,1.05,2025-04-15 00:00:00,1.0525,2.5,0.0024999999999999467,0.23752969121139636
51,2025-04-15 07:00:00,1.4,2025-04-14 15:00:00,1.3975,16.0,0.0024999999999999467,-0.17889087656529137
50,2025-04-15 07:00:00,1.35,2025-04-15 00:00:00,1.3975,7.0,0.047499999999999876,3.3989266547405994
53,2025-04-15 14:00:00,0.7,2025-04-15 00:00:00,0.79,14.0,0.09000000000000008,11.392405063291148
54,2025-04-15 15:00:00,0.7,2025-04-15 11:00:00,0.8300000000000001,4.0,0.13000000000000012,15.66265060240965
56,2025-04-15 20:00:00,1.1,2025-04-15 18:00:00,1.4024999999999999,2.0,0.30249999999999977,21.56862745098038
59,2025-04-15 21:00:00,1.2,2025-04-15 11:00:00,1.3975,10.0,0.1975,14.132379248658319
60,2025-04-16 03:00:00,0.7,2025-04-15 18:00:00,0.885,9.0,0.18500000000000005,20.903954802259896
62,2025-04-16 03:00:00,0.8,2025-04-16 00:00:00,0.885,3.0,0.08499999999999996,9.604519774011296
67,2025-04-16 08:00:00,1.3,2025-04-16 00:00:00,1.1624999999999999,8.0,0.13750000000000018,-11.827956989247328
71,2025-04-16 15:00:00,0.6,2025-04-16 00:00:00,0.6825,15.0,0.08250000000000002,12.087912087912091
72,2025-04-16 21:00:00,1.2,2025-04-16 10:00:00,1.295,11.0,0.09499999999999997,7.335907335907334
73,2025-04-16 21:00:00,1.35,2025-04-16 18:00:00,1.295,3.0,0.05500000000000016,-4.24710424710426
75,2025-04-17 03:00:00,0.95,2025-04-16 18:00:00,0.875,9.0,0.07499999999999996,-8.571428571428566
76,2025-04-17 04:00:00,0.65,2025-04-17 00:00:00,0.83,4.0,0.17999999999999994,21.6867469879518
77,2025-04-17 09:00:00,1.0,2025-04-17 00:00:00,0.98,9.0,0.020000000000000018,-2.040816326530614
