,Fecha,Altura_pronosticada,Fecha_Prono,Altura_observada,Anticipacion_hs,Error_absoluto,Error_relativo_%
0,2025-04-11 22:00:00,0.4,2025-04-11 20:00:00,0.585,2.0,0.18499999999999994,31.623931623931615
7,2025-04-12 02:00:00,0.8,2025-04-12 00:00:00,0.32,2.0,0.48000000000000004,-150.00000000000003
11,2025-04-12 03:00:00,0.9,2025-04-11 20:00:00,0.7275,7.0,0.1725,-23.711340206185564
22,2025-04-12 09:00:00,0.1,2025-04-12 00:00:00,0.0425,9.0,0.0575,-135.2941176470588
13,2025-04-12 09:00:00,0.15,2025-04-12 07:00:00,0.0425,2.0,0.10749999999999998,-252.94117647058818
26,2025-04-12 15:00:00,0.9,2025-04-12 00:00:00,0.805,15.0,0.09499999999999997,-11.801242236024839
31,2025-04-12 15:00:00,0.85,2025-04-12 07:00:00,0.805,8.0,0.04499999999999993,-5.590062111801233
43,2025-04-12 22:00:00,0.2,2025-04-12 07:00:00,0.655,15.0,0.455,69.46564885496183
39,2025-04-12 22:00:00,0.3,2025-04-12 18:00:00,0.655,4.0,0.35500000000000004,54.198473282442755
47,2025-04-13 03:00:00,0.9,2025-04-12 18:00:00,1.32,9.0,0.42000000000000004,31.818181818181824
45,2025-04-13 03:00:00,1.2,2025-04-13 01:00:00,1.32,2.0,0.1200000000000001,9.090909090909099
48,2025-04-13 09:30:00,0.8,2025-04-13 01:00:00,1.0775000000000001,8.5,0.2775000000000001,25.75406032482599
52,2025-04-13 16:00:00,1.7,2025-04-13 01:00:00,1.7425,15.0,0.04249999999999998,2.4390243902439015
53,2025-04-13 16:00:00,1.8,2025-04-13 13:00:00,1.7425,3.0,0.05750000000000011,-3.2998565279770506
55,2025-04-13 23:00:00,1.25,2025-04-13 13:00:00,1.4625,10.0,0.2124999999999999,14.529914529914526
54,2025-04-13 23:00:00,1.2,2025-04-13 18:00:00,1.4625,5.0,0.26249999999999996,17.94871794871795
56,2025-04-14 03:00:00,1.6,2025-04-13 18:00:00,2.1500000000000004,9.0,0.5500000000000003,25.58139534883722
57,2025-04-14 11:00:00,1.0,2025-04-14 07:00:00,1.1275,4.0,0.12749999999999995,11.308203991130815
58,2025-04-14 16:00:00,1.5,2025-04-14 07:00:00,1.525,9.0,0.02499999999999991,1.6393442622950762
59,2025-04-14 23:00:00,0.7,2025-04-14 07:00:00,0.875,16.0,0.17500000000000004,20.000000000000004
61,2025-04-14 23:00:00,1.0,2025-04-14 15:00:00,0.875,8.0,0.125,-14.285714285714286
62,2025-04-15 03:30:00,1.5,2025-04-14 15:00:00,1.44,12.5,0.06000000000000005,-4.1666666666666705
64,2025-04-15 04:00:00,1.3,2025-04-15 00:00:00,1.4375,4.0,0.13749999999999996,9.565217391304346
66,2025-04-15 11:00:00,0.6,2025-04-15 00:00:00,0.8375,11.0,0.23750000000000004,28.358208955223883
70,2025-04-15 17:00:00,1.2,2025-04-15 11:00:00,1.4175,6.0,0.21750000000000003,15.343915343915347
75,2025-04-15 23:00:00,0.7,2025-04-15 11:00:00,0.91,12.0,0.21000000000000008,23.076923076923084
72,2025-04-15 23:00:00,0.6,2025-04-15 18:00:00,0.91,5.0,0.31000000000000005,34.06593406593407
79,2025-04-16 04:00:00,1.2,2025-04-15 18:00:00,1.33,10.0,0.13000000000000012,9.77443609022557
78,2025-04-16 04:00:00,1.5,2025-04-16 00:00:00,1.33,4.0,0.16999999999999993,-12.781954887218038
82,2025-04-16 11:00:00,0.7,2025-04-16 00:00:00,0.53,11.0,0.16999999999999993,-32.07547169811319
81,2025-04-16 11:00:00,0.6,2025-04-16 10:00:00,0.53,1.0,0.06999999999999995,-13.20754716981131
84,2025-04-16 17:30:00,1.3,2025-04-16 10:00:00,1.2825,7.5,0.01750000000000007,-1.3645224171540016
86,2025-04-16 18:00:00,1.35,2025-04-16 18:00:00,1.275,0.0,0.07500000000000018,-5.882352941176485
87,2025-04-16 23:00:00,0.9,2025-04-16 18:00:00,0.6775,5.0,0.22250000000000003,-32.84132841328414
88,2025-04-16 23:30:00,0.6,2025-04-16 10:00:00,0.6525,13.5,0.05249999999999999,8.045977011494251
90,2025-04-17 01:00:00,0.6,2025-04-17 00:00:00,0.6875,1.0,0.08750000000000002,12.72727272727273
91,2025-04-17 04:30:00,1.4,2025-04-16 18:00:00,1.0725,10.5,0.3274999999999999,-30.53613053613053
92,2025-04-17 05:00:00,1.0,2025-04-17 00:00:00,1.0150000000000001,5.0,0.015000000000000124,1.477832512315283
93,2025-04-17 12:00:00,0.25,2025-04-17 00:00:00,0.32,12.0,0.07,21.875000000000004
96,2025-04-17 12:30:00,0.25,2025-04-17 08:00:00,0.28,4.5,0.030000000000000027,10.714285714285722
99,2025-04-17 18:00:00,0.8,2025-04-17 08:00:00,0.8275,10.0,0.02749999999999997,3.3232628398791504
102,2025-04-18 00:00:00,0.3,2025-04-17 08:00:00,0.6025,16.0,0.30250000000000005,50.207468879668056
103,2025-04-18 01:00:00,0.35,2025-04-17 18:00:00,0.59,7.0,0.24,40.67796610169492
104,2025-04-18 04:30:00,0.95,2025-04-17 18:00:00,0.9225,10.5,0.02749999999999997,-2.9810298102980997
105,2025-04-18 04:30:00,1.0,2025-04-18 00:00:00,0.9225,4.5,0.07750000000000001,-8.40108401084011
106,2025-04-18 13:00:00,0.2,2025-04-18 00:00:00,0.5175,13.0,0.31749999999999995,61.35265700483092
107,2025-04-19 13:00:00,1.0,2025-04-19 10:00:00,1.5175,3.0,0.5175000000000001,34.10214168039539
108,2025-04-19 19:00:00,1.4,2025-04-19 10:00:00,1.45,9.0,0.050000000000000044,3.448275862068969
109,2025-04-20 14:00:00,1.0,2025-04-20 10:00:00,0.87,4.0,0.13,-14.942528735632184
110,2025-04-20 19:00:00,1.2,2025-04-20 16:00:00,1.0925,3.0,0.10749999999999993,-9.839816933638437
111,2025-04-20 20:00:00,1.3,2025-04-20 10:00:00,1.0525,10.0,0.24750000000000005,-23.515439429928747
112,2025-04-21 02:00:00,0.6,2025-04-20 22:00:00,0.5875,4.0,0.012499999999999956,-2.1276595744680775
113,2025-04-21 03:00:00,0.5,2025-04-20 16:00:00,0.66,11.0,0.16000000000000003,24.242424242424246
114,2025-04-21 07:00:00,0.95,2025-04-20 22:00:00,1.1875,9.0,0.23750000000000004,20.000000000000004
116,2025-04-21 15:00:00,0.2,2025-04-20 22:00:00,0.235,17.0,0.034999999999999976,14.893617021276585
117,2025-04-21 15:00:00,0.4,2025-04-21 09:00:00,0.235,6.0,0.16500000000000004,-70.21276595744683
119,2025-04-21 20:00:00,0.7,2025-04-21 09:00:00,0.51,11.0,0.18999999999999995,-37.2549019607843
120,2025-04-22 03:30:00,0.2,2025-04-21 22:00:00,0.25250000000000006,5.5,0.05250000000000005,20.792079207920803
121,2025-04-22 09:30:00,1.2,2025-04-22 08:00:00,1.17,1.5,0.030000000000000027,-2.5641025641025665
124,2025-04-22 16:00:00,0.5,2025-04-22 08:00:00,1.0275,8.0,0.5275000000000001,51.338199513382
126,2025-04-22 21:00:00,0.95,2025-04-22 08:00:00,1.5,13.0,0.55,36.66666666666667
125,2025-04-22 21:00:00,1.05,2025-04-22 17:00:00,1.5,4.0,0.44999999999999996,29.999999999999996
129,2025-04-23 03:00:00,0.6,2025-04-22 17:00:00,0.9349999999999999,10.0,0.33499999999999996,35.82887700534759
130,2025-04-23 03:00:00,0.75,2025-04-23 00:00:00,0.9349999999999999,3.0,0.18499999999999994,19.786096256684484
133,2025-04-23 09:00:00,1.25,2025-04-23 00:00:00,1.1199999999999999,9.0,0.13000000000000012,-11.607142857142868
134,2025-04-23 17:00:00,0.45,2025-04-23 00:00:00,0.1925,17.0,0.2575,-133.76623376623377
137,2025-04-23 18:00:00,0.35,2025-04-23 09:00:00,0.2225,9.0,0.12749999999999997,-57.303370786516844
139,2025-04-23 21:00:00,0.7,2025-04-23 09:00:00,0.715,12.0,0.015000000000000013,2.0979020979020997
140,2025-04-23 21:30:00,0.6,2025-04-23 20:00:00,0.745,1.5,0.14500000000000002,19.46308724832215
141,2025-04-24 04:00:00,0.2,2025-04-23 20:00:00,0.765,8.0,0.565,73.85620915032679
