,Fecha,Altura_pronosticada,Fecha_Prono,Altura_observada,Anticipacion_hs,Error_absoluto,Error_relativo_%
0,2025-04-11 21:00:00,1.15,2025-04-11 20:00:00,1.3125,1.0,0.1625000000000001,12.380952380952387
3,2025-04-12 04:00:00,0.65,2025-04-11 20:00:00,0.575,8.0,0.07500000000000007,-13.043478260869579
13,2025-04-12 15:00:00,0.25,2025-04-12 00:00:00,0.19,15.0,0.06,-31.57894736842105
21,2025-04-12 22:00:00,1.05,2025-04-12 07:00:00,0.7925,15.0,0.25750000000000006,-32.49211356466878
24,2025-04-12 22:00:00,0.85,2025-04-12 18:00:00,0.7925,4.0,0.057499999999999996,-7.255520504731861
26,2025-04-13 04:00:00,0.45,2025-04-13 01:00:00,0.4375,3.0,0.012500000000000011,-2.85714285714286
28,2025-04-13 05:30:00,0.3,2025-04-12 18:00:00,0.745,11.5,0.445,59.73154362416108
30,2025-04-13 09:00:00,1.0,2025-04-13 01:00:00,1.3025,8.0,0.3025,23.224568138195778
32,2025-04-13 15:30:00,0.7,2025-04-13 01:00:00,0.7975,14.5,0.09750000000000003,12.225705329153609
34,2025-04-13 16:00:00,1.0,2025-04-13 13:00:00,0.8475,3.0,0.15249999999999997,-17.994100294985245
35,2025-04-13 22:00:00,2.0,2025-04-13 13:00:00,1.7149999999999999,9.0,0.28500000000000014,-16.61807580174928
36,2025-04-13 22:00:00,1.9,2025-04-13 18:00:00,1.7149999999999999,4.0,0.18500000000000005,-10.787172011661813
37,2025-04-14 05:30:00,1.4,2025-04-13 18:00:00,1.6875,11.5,0.2875000000000001,17.03703703703704
38,2025-04-14 17:00:00,1.0,2025-04-14 07:00:00,1.09,10.0,0.09000000000000008,8.25688073394496
39,2025-04-14 23:00:00,1.55,2025-04-14 07:00:00,1.7075,16.0,0.15749999999999997,9.224011713030745
41,2025-04-14 23:30:00,1.5,2025-04-14 15:00:00,1.6624999999999999,8.5,0.16249999999999987,9.774436090225556
43,2025-04-15 05:00:00,1.0,2025-04-14 15:00:00,1.0425,14.0,0.04249999999999998,4.0767386091127085
45,2025-04-15 05:30:00,1.1,2025-04-15 00:00:00,1.0075,5.5,0.09250000000000003,-9.181141439205959
47,2025-04-15 10:00:00,1.4,2025-04-15 00:00:00,1.4249999999999998,10.0,0.02499999999999991,1.7543859649122746
49,2025-04-15 11:00:00,1.5,2025-04-15 11:00:00,1.3475,0.0,0.15250000000000008,-11.317254174397037
51,2025-04-15 17:00:00,0.8,2025-04-15 00:00:00,0.6825,17.0,0.11750000000000005,-17.216117216117222
52,2025-04-15 18:00:00,0.7,2025-04-15 11:00:00,0.7075,7.0,0.007500000000000062,1.0600706713781007
55,2025-04-15 23:00:00,1.1,2025-04-15 18:00:00,1.4449999999999998,5.0,0.34499999999999975,23.87543252595154
56,2025-04-16 00:00:00,1.2,2025-04-15 11:00:00,1.3699999999999999,13.0,0.16999999999999993,12.408759124087586
58,2025-04-16 06:00:00,0.7,2025-04-15 18:00:00,0.72,12.0,0.020000000000000018,2.7777777777777803
60,2025-04-16 06:00:00,0.8,2025-04-16 00:00:00,0.72,6.0,0.08000000000000007,-11.111111111111121
65,2025-04-16 11:00:00,1.3,2025-04-16 00:00:00,1.1625,11.0,0.13749999999999996,-11.827956989247308
68,2025-04-16 18:00:00,0.6,2025-04-16 00:00:00,0.5725,18.0,0.02749999999999997,-4.803493449781654
71,2025-04-17 00:00:00,1.35,2025-04-16 18:00:00,1.5225,6.0,0.17249999999999988,11.330049261083735
72,2025-04-17 00:00:00,1.2,2025-04-16 10:00:00,1.5225,14.0,0.3225,21.182266009852217
73,2025-04-17 06:00:00,0.9,2025-04-16 18:00:00,0.6375,12.0,0.26250000000000007,-41.17647058823531
74,2025-04-17 07:00:00,0.6,2025-04-17 00:00:00,0.565,7.0,0.03500000000000003,-6.194690265486732
77,2025-04-17 11:00:00,0.9,2025-04-17 08:00:00,1.05,3.0,0.15000000000000002,14.285714285714286
78,2025-04-17 12:00:00,0.95,2025-04-17 00:00:00,0.9349999999999999,12.0,0.015000000000000013,-1.6042780748663117
79,2025-04-17 19:30:00,0.3,2025-04-17 18:00:00,0.355,1.5,0.05499999999999999,15.492957746478872
80,2025-04-17 20:00:00,0.25,2025-04-17 08:00:00,0.38249999999999995,12.0,0.13249999999999995,34.640522875816984
83,2025-04-18 00:00:00,0.9,2025-04-17 18:00:00,1.0950000000000002,6.0,0.19500000000000017,17.808219178082204
84,2025-04-18 07:30:00,0.4,2025-04-17 18:00:00,0.38,13.5,0.020000000000000018,-5.263157894736847
86,2025-04-18 12:00:00,1.2,2025-04-18 00:00:00,0.93,12.0,0.2699999999999999,-29.032258064516117
87,2025-04-19 13:00:00,2.25,2025-04-19 10:00:00,1.9925,3.0,0.25750000000000006,-12.923462986198247
88,2025-04-19 20:00:00,1.1,2025-04-19 10:00:00,1.1749999999999998,10.0,0.07499999999999973,6.382978723404234
89,2025-04-20 13:00:00,2.2,2025-04-20 10:00:00,1.875,3.0,0.3250000000000002,-17.33333333333334
90,2025-04-20 20:30:00,1.1,2025-04-20 10:00:00,0.8025,10.5,0.2975000000000001,-37.07165109034269
92,2025-04-21 08:00:00,0.5,2025-04-20 16:00:00,0.395,16.0,0.10499999999999998,-26.582278481012654
94,2025-04-21 14:00:00,0.9,2025-04-20 22:00:00,1.19,16.0,0.2899999999999999,24.36974789915966
98,2025-04-21 22:00:00,0.4,2025-04-21 09:00:00,0.32999999999999996,13.0,0.07000000000000006,-21.212121212121232
99,2025-04-22 02:00:00,0.6,2025-04-21 22:00:00,0.495,4.0,0.10499999999999998,-21.212121212121207
100,2025-04-22 08:30:00,0.2,2025-04-21 22:00:00,0.07250000000000001,10.5,0.1275,-175.8620689655172
101,2025-04-22 15:00:00,1.1,2025-04-22 08:00:00,1.0825,7.0,0.01750000000000007,-1.616628175519637
104,2025-04-22 22:00:00,0.5,2025-04-22 08:00:00,1.02625,14.0,0.5262500000000001,51.27892813641901
105,2025-04-23 03:00:00,0.9,2025-04-22 17:00:00,1.48,10.0,0.58,39.189189189189186
107,2025-04-23 03:00:00,1.5,2025-04-23 00:00:00,1.48,3.0,0.020000000000000018,-1.3513513513513526
