mes,dia,hora,altura
4,1,4:23,0.67
4,,8:40,1.19
4,,16:31,0.25
4,,22:28,1.42
4,2,5:05,0.68
4,,9:29,1.26
4,,17:31,0.25
4,,23:29,1.37
4,3,5:48,0.69
4,,10:23,1.32
4,,18:31,0.28
4,4,0:27,1.3
4,,6:31,0.68
4,,11:23,1.34
4,,19:34,0.34
4,5,1:21,1.21
4,,7:18,0.67
4,,12:29,1.33
4,,20:40,0.41
4,6,2:13,1.11
4,,8:11,0.64
4,,13:40,1.3
4,,21:50,0.48
4,7,3:07,1.01
4,,9:11,0.61
4,,15:01,1.24
4,,23:05,0.54
4,8,4:09,0.93
4,,10:18,0.57
4,,16:42,1.2
4,9,0:24,0.57
4,,5:22,0.88
4,,11:27,0.53
4,,18:15,1.2
4,10,1:36,0.59
4,,6:30,0.86
4,,12:33,0.49
4,,19:20,1.2
4,11,2:31,0.6
4,,7:16,0.87
4,,13:31,0.45
4,,20:10,1.2
4,12,3:08,0.61
4,,7:46,0.89
4,,14:21,0.44
4,,20:49,1.19
4,13,3:29,0.62
4,,8:07,0.92
4,,15:03,0.43
4,,21:19,1.17
4,14,3:46,0.63
4,,8:29,0.97
4,,15:41,0.44
4,,21:44,1.14
4,15,4:08,0.62
4,,8:53,1.02
4,,16:14,0.45
4,,22:10,1.12
4,16,4:34,0.62
4,,9:21,1.07
4,,16:46,0.46
4,,22:37,1.09
4,17,4:59,0.61
4,,9:51,1.1
4,,17:16,0.47
4,,23:03,1.05
4,18,5:21,0.61
4,,10:22,1.12
4,,17:47,0.48
4,,23:27,1.01
4,19,5:40,0.59
4,,10:53,1.13
4,,18:21,0.49
4,,23:51,0.97
4,20,6:04,0.57
4,,11:27,1.14
4,,19:01,0.51
4,21,0:22,0.93
4,,6:39,0.53
4,,12:09,1.14
4,,19:48,0.53
4,22,1:01,0.89
4,,7:26,0.51
4,,13:05,1.15
4,,20:47,0.55
4,23,1:49,0.86
4,,8:25,0.48
4,,14:18,1.17
4,,21:57,0.57
4,24,2:47,0.84
4,,9:31,0.45
4,,15:38,1.21
4,,23:15,0.58
4,25,3:51,0.86
4,,10:41,0.41
4,,16:54,1.27
4,26,0:26,0.58
4,,4:53,0.91
4,,11:53,0.37
4,,18:02,1.33
4,27,1:25,0.59
4,,5:50,0.99
4,,13:05,0.33
4,,19:03,1.37
4,28,2:15,0.6
4,,6:41,1.1
4,,14:15,0.29
4,,20:02,1.37
4,29,3:02,0.61
4,,7:30,1.21
4,,15:21,0.27
4,,21:02,1.33
4,30,3:46,0.62
4,,8:19,1.3
4,,16:24,0.26
4,,22:05,1.26
5,1,4:29,0.62
