mes,dia,hora,altura
4,1,2:07,0.65
4,,6:34,1.18
4,,14:12,0.37
4,,20:09,1.33
4,2,2:43,0.64
4,,7:28,1.27
4,,15:11,0.36
4,,21:07,1.22
4,3,3:20,0.64
4,,8:20,1.33
4,,16:15,0.34
4,,22:15,1.1
4,4,3:58,0.66
4,,9:11,1.36
4,,17:21,0.31
4,,23:29,0.99
4,5,4:41,0.69
4,,10:09,1.32
4,,18:29,0.31
4,6,0:43,0.92
4,,5:38,0.71
4,,11:25,1.23
4,,19:39,0.35
4,7,1:53,0.88
4,,6:54,0.69
4,,13:14,1.14
4,,20:54,0.43
4,8,2:50,0.87
4,,8:27,0.61
4,,15:11,1.1
4,,22:10,0.53
4,9,3:30,0.89
4,,9:50,0.49
4,,16:47,1.12
4,,23:13,0.62
4,10,4:00,0.91
4,,10:47,0.39
4,,17:53,1.16
4,11,0:01,0.7
4,,4:27,0.95
4,,11:29,0.35
4,,18:32,1.18
4,12,0:35,0.74
4,,4:57,0.99
4,,12:03,0.37
4,,18:52,1.18
4,13,1:00,0.74
4,,5:33,1.03
4,,12:33,0.43
4,,19:08,1.17
4,14,1:19,0.72
4,,6:12,1.06
4,,13:03,0.51
4,,19:28,1.14
4,15,1:38,0.68
4,,6:50,1.07
4,,13:35,0.57
4,,19:56,1.09
4,16,2:00,0.65
4,,7:22,1.08
4,,14:12,0.6
4,,20:30,1.02
4,17,2:26,0.64
4,,7:48,1.09
4,,14:53,0.6
4,,21:11,0.93
4,18,2:55,0.63
4,,8:11,1.1
4,,15:35,0.55
4,,21:51,0.86
4,19,3:28,0.62
4,,8:38,1.1
4,,16:16,0.5
4,,22:21,0.8
4,20,4:05,0.59
4,,9:17,1.08
4,,16:57,0.46
4,,22:42,0.78
4,21,4:50,0.54
4,,10:09,1.04
4,,17:38,0.45
4,,23:06,0.78
4,22,5:41,0.47
4,,11:18,1
4,,18:25,0.48
4,,23:42,0.79
4,23,6:36,0.41
4,,12:39,0.99
4,,19:25,0.54
4,24,0:30,0.8
4,,7:37,0.37
4,,13:58,1.03
4,,20:49,0.6
4,25,1:27,0.82
4,,8:46,0.35
4,,15:05,1.11
4,,22:20,0.61
4,26,2:31,0.86
4,,9:57,0.35
4,,16:03,1.2
4,,23:21,0.59
4,27,3:35,0.93
4,,11:04,0.36
4,,16:54,1.25
4,28,0:06,0.57
4,,4:36,1.05
4,,12:06,0.37
4,,17:47,1.26
4,29,0:44,0.57
4,,5:32,1.19
4,,13:07,0.37
4,,18:44,1.21
4,30,1:20,0.59
4,,6:25,1.34
4,,14:09,0.35
4,,19:50,1.12
5,1,1:56,0.63
5,,7:14,1.45
5,,15:13,0.31
5,,21:05,1.03
5,2,2:36,0.67
5,,8:03,1.49
5,,16:18,0.28
5,,22:24,0.95
5,3,3:23,0.7
5,,8:54,1.44
5,,17:22,0.27
5,,23:40,0.9
5,4,4:23,0.7
5,,9:57,1.3
5,,18:25,0.31
5,5,0:43,0.86
5,,5:38,0.65
5,,11:42,1.14
5,,19:29,0.38
5,6,1:31,0.84
5,,6:59,0.55
5,,13:43,1.04
5,,20:36,0.47
5,7,2:09,0.82
5,,8:16,0.43
5,,15:12,1.01
5,,21:44,0.54
5,8,2:43,0.81
5,,9:20,0.33
5,,16:21,1.01
5,,22:41,0.58
5,9,3:18,0.82
5,,10:11,0.29
5,,17:07,1.02
5,,23:22,0.59
5,10,3:57,0.85
5,,10:53,0.3
5,,17:39,1.02
5,,23:50,0.6
5,11,4:39,0.9
5,,11:31,0.36
5,,18:06,1.01
5,12,0:10,0.6
5,,5:21,0.97
5,,12:09,0.44
