mes,dia,hora,altura
4,1,2:56,1.33
4,,10:53,0.07
4,,16:45,1.39
4,,23:27,0.54
4,2,3:46,1.42
4,,11:49,0.1
4,,18:07,1.34
4,3,0:09,0.56
4,,4:41,1.48
4,,12:46,0.17
4,,19:10,1.29
4,4,0:50,0.58
4,,5:43,1.49
4,,13:45,0.28
4,,20:00,1.21
4,5,1:35,0.6
4,,6:59,1.47
4,,14:50,0.39
4,,20:47,1.12
4,6,2:28,0.62
4,,8:23,1.41
4,,16:02,0.49
4,,21:38,1.03
4,7,3:35,0.62
4,,9:44,1.33
4,,17:20,0.54
4,,22:41,0.95
4,8,4:53,0.59
4,,11:17,1.26
4,,18:38,0.54
4,9,0:13,0.91
4,,6:10,0.53
4,,13:07,1.23
4,,19:44,0.53
4,10,1:30,0.91
4,,7:15,0.46
4,,14:16,1.22
4,,20:37,0.51
4,11,2:08,0.92
4,,8:09,0.4
4,,15:01,1.21
4,,21:18,0.52
4,12,2:21,0.96
4,,8:53,0.37
4,,15:33,1.2
4,,21:51,0.56
4,13,2:28,1.02
4,,9:29,0.37
4,,15:52,1.19
4,,22:15,0.61
4,14,2:46,1.1
4,,10:01,0.4
4,,16:06,1.19
4,,22:31,0.66
4,15,3:10,1.18
4,,10:32,0.44
4,,16:28,1.19
4,,22:45,0.69
4,16,3:36,1.26
4,,11:02,0.49
4,,16:54,1.18
4,,23:04,0.7
4,17,4:03,1.32
4,,11:35,0.53
4,,17:21,1.16
4,,23:29,0.7
4,18,4:30,1.36
4,,12:10,0.57
4,,17:42,1.13
4,,23:56,0.69
4,19,5:03,1.38
4,,12:47,0.59
4,,18:02,1.1
4,20,0:26,0.68
4,,5:44,1.37
4,,13:31,0.59
4,,18:33,1.05
4,21,1:00,0.66
4,,6:35,1.34
4,,14:23,0.59
4,,19:17,0.99
4,22,1:45,0.63
4,,7:40,1.3
4,,15:27,0.59
4,,20:11,0.94
4,23,2:49,0.58
4,,8:54,1.28
4,,16:37,0.57
4,,21:11,0.91
4,24,4:04,0.5
4,,10:08,1.29
4,,17:47,0.55
4,,22:13,0.92
4,25,5:15,0.4
4,,11:18,1.32
4,,18:52,0.54
4,,23:12,0.98
4,26,6:22,0.3
4,,12:21,1.37
4,,19:49,0.54
4,27,0:06,1.1
4,,7:29,0.22
4,,13:19,1.41
4,,20:39,0.54
4,28,0:58,1.24
4,,8:35,0.17
4,,14:15,1.41
4,,21:25,0.55
4,29,1:49,1.38
4,,9:39,0.16
4,,15:11,1.37
4,,22:09,0.56
4,30,2:41,1.5
4,,10:40,0.18
4,,16:16,1.31
4,,22:52,0.56
5,1,3:35,1.57
5,,11:41,0.23
5,,17:38,1.23
5,,23:36,0.55
5,2,4:34,1.59
5,,12:41,0.29
5,,18:46,1.15
5,3,0:20,0.55
5,,5:43,1.55
5,,13:43,0.36
5,,19:41,1.07
5,4,1:09,0.55
5,,7:04,1.48
5,,14:49,0.43
5,,20:32,0.99
5,5,2:06,0.55
5,,8:25,1.38
5,,16:00,0.47
5,,21:27,0.91
5,6,3:16,0.54
5,,9:44,1.28
5,,17:12,0.5
5,,22:33,0.86
5,7,4:32,0.51
5,,11:13,1.21
5,,18:19,0.5
5,,23:49,0.85
5,8,5:44,0.47
5,,12:40,1.18
5,,19:17,0.51
5,9,0:49,0.88
5,,6:45,0.43
5,,13:41,1.17
5,,20:03,0.53
5,10,1:24,0.93
5,,7:35,0.42
5,,14:23,1.18
5,,20:39,0.58
5,11,1:44,1
5,,8:17,0.44
5,,14:52,1.18
5,,21:05,0.63
5,12,2:03,1.1
5,,8:55,0.48
5,,15:13,1.17
5,,21:23,0.67
5,13,2:26,1.19
5,,9:30,0.53
5,,15:33,1.16
5,,21:39,0.7
5,14,2:51,1.27
5,,10:04,0.57
5,,15:55,1.14
5,,22:01,0.7
5,15,3:16,1.33
5,,10:40,0.61
5,,16:18,1.11
5,,22:28,0.68
5,16,3:41,1.37
5,,11:18,0.61
5,,16:36,1.08
5,,22:59,0.66
5,17,4:11,1.38
5,,11:58,0.6
5,,16:53,1.04
5,,23:33,0.63
5,18,4:48,1.37
5,,12:40,0.57
5,,17:23,0.99
5,19,0:10,0.59
5,,5:34,1.34
5,,13:27,0.53
5,,18:04,0.95
5,20,0:51,0.55
5,,6:30,1.31
5,,14:20,0.51
5,,18:53,0.9
5,21,1:40,0.5
5,,7:36,1.28
5,,15:19,0.51
5,,19:47,0.88
5,22,2:41,0.44
5,,8:45,1.28
5,,16:23,0.52
5,,20:45,0.89
5,23,3:50,0.38
5,,9:53,1.3
5,,17:25,0.53
5,,21:45,0.96
5,24,4:59,0.31
5,,10:58,1.33
5,,18:23,0.55
5,,22:45,1.07
5,25,6:07,0.26
5,,11:58,1.35
5,,19:15,0.57
5,,23:43,1.22
5,26,7:14,0.24
5,,12:55,1.35
5,,20:02,0.58
5,27,0:39,1.37
5,,8:21,0.24
5,,13:49,1.32
5,,20:48,0.58
5,28,1:33,1.5
5,,9:28,0.27
5,,14:45,1.25
5,,21:34,0.57
5,29,2:29,1.58
5,,10:33,0.3
5,,15:49,1.16
5,,22:21,0.54
5,30,3:27,1.6
5,,11:36,0.33
5,,17:11,1.08
5,,23:10,0.52
5,31,4:29,1.56
5,,12:38,0.35
5,,18:26,1
6,1,0:02,0.49
6,,5:40,1.47
6,,13:39,0.37
6,,19:26,0.94
6,2,0:56,0.46
6,,7:01,1.37
6,,14:40,0.4
6,,20:18,0.89
6,3,1:54,0.44
6,,8:20,1.28
6,,15:40,0.43
6,,21:07,0.85
6,4,2:57,0.43
6,,9:32,1.2
6,,16:40,0.47
6,,21:57,0.83
6,5,4:01,0.42
6,,10:39,1.14
6,,17:38,0.52
6,,22:49,0.85
6,6,5:03,0.43
6,,11:44,1.12
6,,18:30,0.56
6,,23:37,0.9
6,7,6:00,0.44
6,,12:40,1.11
6,,19:12,0.62
6,8,0:20,0.97
6,,6:50,0.48
6,,13:26,1.11
6,,19:42,0.67
6,9,0:56,1.07
6,,7:36,0.52
6,,14:01,1.11
6,,20:04,0.7
6,10,1:29,1.17
6,,8:17,0.58
6,,14:30,1.1
6,,20:24,0.72
6,11,2:00,1.25
6,,8:58,0.62
6,,14:57,1.08
6,,20:49,0.7
6,12,2:28,1.31
6,,9:39,0.64
6,,15:22,1.05
6,,21:20,0.67
6,13,2:54,1.34
6,,10:21,0.63
6,,15:42,1.01
6,,21:56,0.63
6,14,3:22,1.35
6,,11:04,0.59
6,,15:57,0.97
6,,22:36,0.58
6,15,3:56,1.33
6,,11:48,0.53
6,,16:23,0.93
6,,23:19,0.52
6,16,4:39,1.31
6,,12:34,0.48
6,,17:00,0.9
6,17,0:05,0.46
6,,5:29,1.28
6,,13:21,0.44
6,,17:43,0.87
6,18,0:52,0.4
6,,6:27,1.26
6,,14:11,0.43
6,,18:31,0.87
6,19,1:44,0.35
6,,7:32,1.25
6,,15:03,0.45
6,,19:23,0.9
6,20,2:42,0.3
6,,8:38,1.26
6,,15:58,0.5
6,,20:21,0.97
6,21,3:45,0.28
6,,9:41,1.27
6,,16:53,0.54
6,,21:22,1.07
6,22,4:52,0.27
6,,10:40,1.28
6,,17:46,0.57
6,,22:24,1.2
6,23,5:59,0.27
6,,11:36,1.26
6,,18:36,0.59
6,,23:25,1.34
6,24,7:06,0.3
6,,12:31,1.22
6,,19:24,0.59
6,25,0:25,1.46
6,,8:15,0.33
6,,13:27,1.15
6,,20:13,0.57
6,26,1:23,1.53
6,,9:24,0.35
6,,14:27,1.07
6,,21:05,0.54
6,27,2:21,1.55
6,,10:32,0.36
6,,15:34,0.99
6,,22:00,0.5
6,28,3:20,1.5
6,,11:35,0.35
6,,16:54,0.93
6,,22:57,0.46
6,29,4:22,1.42
6,,12:33,0.33
6,,18:09,0.88
6,,23:53,0.41
6,30,5:29,1.32
6,,13:25,0.33
6,,19:05,0.86
7,1,0:47,0.37
7,,6:46,1.23
7,,14:13,0.36
7,,19:46,0.84
7,2,1:38,0.35
7,,7:59,1.17
7,,14:59,0.42
7,,20:20,0.85
7,3,2:27,0.35
7,,8:56,1.12
7,,15:43,0.5
7,,20:55,0.87
7,4,3:17,0.38
7,,9:46,1.08
7,,16:27,0.58
7,,21:36,0.91
7,5,4:10,0.43
7,,10:34,1.06
7,,17:09,0.66
7,,22:23,0.98
7,6,5:06,0.49
7,,11:23,1.04
7,,17:44,0.72
7,,23:13,1.06
7,7,6:00,0.55
7,,12:13,1.03
7,,18:16,0.74
7,8,0:02,1.14
7,,6:52,0.61
7,,13:00,1.01
7,,18:47,0.74
7,9,0:46,1.22
7,,7:40,0.64
7,,13:41,0.99
7,,19:21,0.71
7,10,1:23,1.27
7,,8:27,0.64
7,,14:15,0.96
7,,19:59,0.66
7,11,1:56,1.3
7,,9:14,0.62
7,,14:41,0.93
7,,20:41,0.6
7,12,2:28,1.31
7,,10:02,0.56
7,,14:59,0.9
7,,21:28,0.54
7,13,3:02,1.3
7,,10:49,0.49
7,,15:23,0.88
7,,22:18,0.46
7,14,3:42,1.28
7,,11:36,0.43
7,,15:56,0.86
7,,23:09,0.39
7,15,4:29,1.26
7,,12:22,0.38
7,,16:35,0.86
7,16,0:00,0.31
7,,5:22,1.24
7,,13:06,0.37
7,,17:19,0.89
7,17,0:51,0.26
7,,6:22,1.23
7,,13:51,0.39
7,,18:07,0.94
7,18,1:43,0.22
7,,7:28,1.23
7,,14:37,0.44
7,,19:02,1.02
7,19,2:40,0.22
7,,8:32,1.23
7,,15:24,0.5
7,,20:03,1.12
7,20,3:42,0.25
7,,9:28,1.21
7,,16:14,0.55
7,,21:07,1.22
7,21,4:48,0.29
7,,10:21,1.17
7,,17:06,0.58
7,,22:12,1.33
7,22,5:56,0.33
7,,11:15,1.12
7,,17:58,0.58
7,,23:16,1.41
7,23,7:05,0.37
7,,12:12,1.04
7,,18:52,0.56
7,24,0:19,1.46
7,,8:17,0.39
7,,13:15,0.97
7,,19:48,0.53
7,25,1:20,1.46
7,,9:28,0.38
7,,14:24,0.91
7,,20:49,0.49
7,26,2:19,1.42
7,,10:33,0.35
7,,15:32,0.87
7,,21:53,0.44
7,27,3:15,1.35
7,,11:28,0.32
7,,16:33,0.84
7,,22:52,0.38
7,28,4:11,1.27
7,,12:15,0.31
7,,17:19,0.84
7,,23:44,0.33
7,29,5:10,1.19
7,,12:56,0.33
7,,17:49,0.85
7,30,0:30,0.3
7,,6:14,1.14
7,,13:31,0.38
7,,18:21,0.88
7,31,1:10,0.3
7,,7:15,1.1
