mes,dia,hora,altura
4,1,5:20,0.63
4,,9:29,1.15
4,,17:10,0.17
4,,23:13,1.35
4,2,6:01,0.63
4,,10:22,1.25
4,,18:07,0.22
4,3,0:04,1.29
4,,6:43,0.64
4,,11:16,1.33
4,,19:04,0.3
4,4,0:58,1.22
4,,7:26,0.65
4,,12:14,1.37
4,,20:05,0.4
4,5,1:56,1.12
4,,8:11,0.65
4,,13:17,1.37
4,,21:12,0.51
4,6,3:01,1.03
4,,8:58,0.63
4,,14:32,1.35
4,,22:30,0.59
4,7,4:07,0.94
4,,9:50,0.61
4,,15:57,1.32
4,8,0:04,0.63
4,,5:08,0.87
4,,10:49,0.58
4,,17:18,1.29
4,9,1:36,0.61
4,,6:00,0.83
4,,11:55,0.53
4,,18:29,1.27
4,10,2:40,0.59
4,,6:46,0.81
4,,13:02,0.47
4,,19:29,1.24
4,11,3:23,0.58
4,,7:27,0.82
4,,14:03,0.42
4,,20:21,1.21
4,12,3:55,0.58
4,,8:05,0.85
4,,14:55,0.38
4,,21:07,1.18
4,13,4:19,0.6
4,,8:40,0.9
4,,15:39,0.37
4,,21:49,1.16
4,14,4:39,0.61
4,,9:12,0.97
4,,16:17,0.38
4,,22:28,1.13
4,15,4:59,0.63
4,,9:41,1.04
4,,16:52,0.4
4,,23:06,1.11
4,16,5:21,0.64
4,,10:08,1.11
4,,17:26,0.43
4,,23:41,1.07
4,17,5:47,0.65
4,,10:35,1.17
4,,18:00,0.47
4,18,0:10,1.03
4,,6:16,0.65
4,,11:06,1.23
4,,18:36,0.5
4,19,0:17,0.98
4,,6:48,0.65
4,,11:41,1.26
4,,19:16,0.53
4,20,0:12,0.93
4,,7:21,0.63
4,,12:23,1.28
4,,20:01,0.56
4,21,0:31,0.89
4,,7:57,0.6
4,,13:11,1.27
4,,20:55,0.59
4,22,1:04,0.84
4,,8:35,0.56
4,,14:09,1.25
4,,21:58,0.61
4,23,1:49,0.79
4,,9:20,0.5
4,,15:19,1.22
4,,23:13,0.62
4,24,2:54,0.76
4,,10:14,0.43
4,,16:41,1.22
4,25,0:29,0.61
4,,4:23,0.77
4,,11:19,0.37
4,,17:59,1.23
4,26,1:34,0.6
4,,5:41,0.84
4,,12:33,0.31
4,,19:06,1.25
4,27,2:27,0.59
4,,6:42,0.94
4,,13:47,0.26
4,,20:05,1.27
4,28,3:15,0.6
4,,7:36,1.07
4,,14:56,0.22
4,,21:00,1.27
4,29,4:00,0.6
4,,8:28,1.21
4,,16:00,0.21
4,,21:53,1.24
4,30,4:43,0.61
4,,9:20,1.33
4,,17:01,0.23
4,,22:45,1.19
5,1,5:27,0.62
5,,10:12,1.42
5,,18:02,0.28
5,,23:38,1.1
5,2,6:10,0.62
5,,11:05,1.47
5,,19:03,0.35
5,3,0:37,1
5,,6:54,0.61
5,,12:03,1.47
5,,20:08,0.43
5,4,1:46,0.9
5,,7:40,0.58
5,,13:06,1.42
5,,21:19,0.49
5,5,3:06,0.82
5,,8:28,0.55
5,,14:19,1.36
5,,22:43,0.52
5,6,4:14,0.76
5,,9:20,0.52
5,,15:40,1.29
5,7,0:17,0.52
5,,5:07,0.73
5,,10:17,0.48
5,,16:58,1.23
5,8,1:28,0.5
5,,5:52,0.73
5,,11:20,0.45
5,,18:04,1.18
5,9,2:13,0.5
5,,6:32,0.76
5,,12:26,0.42
5,,19:00,1.13
5,10,2:44,0.52
5,,7:09,0.82
5,,13:29,0.4
5,,19:50,1.09
5,11,3:07,0.54
5,,7:45,0.9
5,,14:24,0.4
5,,20:34,1.06
