Mareografo,Fecha,Nivel
San Fernando,2025-04-04 15:45:00-03:00,1.98
San Fernando,2025-04-04 16:45:00-03:00,1.81
San Fernando,2025-04-04 17:45:00-03:00,1.65
San Fernando,2025-04-04 18:45:00-03:00,1.51
San Fernando,2025-04-04 19:45:00-03:00,1.4
San Fernando,2025-04-04 20:45:00-03:00,1.3
San Fernando,2025-04-04 21:45:00-03:00,1.25
San Fernando,2025-04-04 22:45:00-03:00,1.33
San Fernando,2025-04-04 23:45:00-03:00,1.56
San Fernando,2025-04-05 00:45:00-03:00,1.59
San Fernando,2025-04-05 01:45:00-03:00,1.56
San Fernando,2025-04-05 02:45:00-03:00,1.42
San Fernando,2025-04-05 03:45:00-03:00,1.32
San Fernando,2025-04-05 04:45:00-03:00,1.2
San Fernando,2025-04-05 05:45:00-03:00,1.08
San Fernando,2025-04-05 06:45:00-03:00,0.99
San Fernando,2025-04-05 07:45:00-03:00,0.89
San Fernando,2025-04-05 08:45:00-03:00,0.89
San Fernando,2025-04-05 09:45:00-03:00,1.32
San Fernando,2025-04-05 10:45:00-03:00,1.57
San Fernando,2025-04-05 11:45:00-03:00,1.7
San Fernando,2025-04-05 12:45:00-03:00,1.78
San Fernando,2025-04-05 13:45:00-03:00,1.69
San Fernando,2025-04-05 14:45:00-03:00,1.49
San Fernando,2025-04-05 15:45:00-03:00,1.33
San Fernando,2025-04-05 16:45:00-03:00,1.18
San Fernando,2025-04-05 17:45:00-03:00,1.05
San Fernando,2025-04-05 18:45:00-03:00,0.94
San Fernando,2025-04-05 19:45:00-03:00,0.86
San Fernando,2025-04-05 20:45:00-03:00,0.82
San Fernando,2025-04-05 21:45:00-03:00,0.81
San Fernando,2025-04-05 22:45:00-03:00,0.75
San Fernando,2025-04-05 23:45:00-03:00,0.7
San Fernando,2025-04-06 00:45:00-03:00,0.94
San Fernando,2025-04-06 01:45:00-03:00,1.07
San Fernando,2025-04-06 02:45:00-03:00,1.04
San Fernando,2025-04-06 03:45:00-03:00,1
San Fernando,2025-04-06 04:45:00-03:00,0.89
San Fernando,2025-04-06 05:45:00-03:00,0.79
San Fernando,2025-04-06 06:45:00-03:00,0.67
San Fernando,2025-04-06 07:45:00-03:00,0.58
San Fernando,2025-04-06 08:45:00-03:00,0.52
San Fernando,2025-04-06 09:45:00-03:00,0.45
San Fernando,2025-04-06 10:45:00-03:00,0.4
San Fernando,2025-04-06 11:45:00-03:00,0.62
San Fernando,2025-04-06 12:45:00-03:00,1.01
San Fernando,2025-04-06 13:45:00-03:00,1.15
San Fernando,2025-04-06 14:45:00-03:00,1.24
San Fernando,2025-04-06 15:45:00-03:00,1.23
San Fernando,2025-04-06 16:45:00-03:00,1.12
San Fernando,2025-04-06 17:45:00-03:00,1.06
San Fernando,2025-04-06 18:45:00-03:00,1.01
San Fernando,2025-04-06 19:45:00-03:00,0.93
San Fernando,2025-04-06 20:45:00-03:00,0.85
San Fernando,2025-04-06 21:45:00-03:00,0.78
San Fernando,2025-04-06 22:45:00-03:00,0.74
San Fernando,2025-04-06 23:45:00-03:00,0.98
San Fernando,2025-04-07 00:45:00-03:00,1.25
San Fernando,2025-04-07 01:45:00-03:00,1.37
San Fernando,2025-04-07 02:45:00-03:00,1.48
San Fernando,2025-04-07 03:45:00-03:00,1.49
San Fernando,2025-04-07 04:45:00-03:00,1.4
San Fernando,2025-04-07 05:45:00-03:00,1.24
San Fernando,2025-04-07 06:45:00-03:00,1.07
San Fernando,2025-04-07 07:45:00-03:00,0.93
San Fernando,2025-04-07 08:45:00-03:00,0.81
San Fernando,2025-04-07 09:45:00-03:00,0.74
San Fernando,2025-04-07 10:45:00-03:00,0.68
San Fernando,2025-04-07 11:45:00-03:00,0.71
San Fernando,2025-04-07 12:45:00-03:00,1
San Fernando,2025-04-07 13:45:00-03:00,1.32
San Fernando,2025-04-07 14:45:00-03:00,1.47
San Fernando,2025-04-07 15:45:00-03:00,1.62
San Fernando,2025-04-07 16:45:00-03:00,1.61
San Fernando,2025-04-07 17:45:00-03:00,1.57
San Fernando,2025-04-07 18:45:00-03:00,1.38
San Fernando,2025-04-07 19:45:00-03:00,1.24
San Fernando,2025-04-07 20:45:00-03:00,1.14
San Fernando,2025-04-07 21:45:00-03:00,0.96
San Fernando,2025-04-07 22:45:00-03:00,0.92
San Fernando,2025-04-07 23:45:00-03:00,0.87
San Fernando,2025-04-08 00:45:00-03:00,0.96
San Fernando,2025-04-08 01:45:00-03:00,1.06
San Fernando,2025-04-08 02:45:00-03:00,1.28
San Fernando,2025-04-08 03:45:00-03:00,1.49
San Fernando,2025-04-08 04:45:00-03:00,1.52
San Fernando,2025-04-08 05:45:00-03:00,1.53
San Fernando,2025-04-08 06:45:00-03:00,1.5
San Fernando,2025-04-08 07:45:00-03:00,1.49
San Fernando,2025-04-08 08:45:00-03:00,1.32
San Fernando,2025-04-08 09:45:00-03:00,1.14
San Fernando,2025-04-08 10:45:00-03:00,0.99
San Fernando,2025-04-08 11:45:00-03:00,0.87
San Fernando,2025-04-08 12:45:00-03:00,0.93
San Fernando,2025-04-08 13:45:00-03:00,1.25
San Fernando,2025-04-08 14:45:00-03:00,1.5
San Fernando,2025-04-08 15:45:00-03:00,1.72
San Fernando,2025-04-08 16:45:00-03:00,1.93
San Fernando,2025-04-08 17:45:00-03:00,1.93
San Fernando,2025-04-08 18:45:00-03:00,1.96
San Fernando,2025-04-08 19:45:00-03:00,2.02
San Fernando,2025-04-08 20:45:00-03:00,1.82
San Fernando,2025-04-08 21:45:00-03:00,1.6
San Fernando,2025-04-08 22:45:00-03:00,1.32
San Fernando,2025-04-08 23:45:00-03:00,1.28
San Fernando,2025-04-09 00:45:00-03:00,1.25
San Fernando,2025-04-09 01:45:00-03:00,1.24
San Fernando,2025-04-09 02:45:00-03:00,1.22
San Fernando,2025-04-09 03:45:00-03:00,1.28
San Fernando,2025-04-09 04:45:00-03:00,1.32
San Fernando,2025-04-09 05:45:00-03:00,1.31
San Fernando,2025-04-09 06:45:00-03:00,1.29
San Fernando,2025-04-09 07:45:00-03:00,1.2
San Fernando,2025-04-09 08:45:00-03:00,1.13
San Fernando,2025-04-09 09:45:00-03:00,1.02
San Fernando,2025-04-09 10:45:00-03:00,0.98
San Fernando,2025-04-09 11:45:00-03:00,0.92
San Fernando,2025-04-09 12:45:00-03:00,0.87
San Fernando,2025-04-09 13:45:00-03:00,0.93
San Fernando,2025-04-09 14:45:00-03:00,1.22
San Fernando,2025-04-09 15:45:00-03:00,1.54
San Fernando,2025-04-09 16:45:00-03:00,1.71
San Fernando,2025-04-09 17:45:00-03:00,1.83
San Fernando,2025-04-09 18:45:00-03:00,1.79
San Fernando,2025-04-09 19:45:00-03:00,1.66
San Fernando,2025-04-09 20:45:00-03:00,1.51
San Fernando,2025-04-09 21:45:00-03:00,1.32
San Fernando,2025-04-09 22:45:00-03:00,1.21
San Fernando,2025-04-09 23:45:00-03:00,1.08
San Fernando,2025-04-10 00:45:00-03:00,0.97
San Fernando,2025-04-10 01:45:00-03:00,0.88
San Fernando,2025-04-10 02:45:00-03:00,0.78
San Fernando,2025-04-10 03:45:00-03:00,0.72
San Fernando,2025-04-10 04:45:00-03:00,0.67
San Fernando,2025-04-10 05:45:00-03:00,0.66
San Fernando,2025-04-10 06:45:00-03:00,0.71
San Fernando,2025-04-10 07:45:00-03:00,0.73
San Fernando,2025-04-10 08:45:00-03:00,0.69
San Fernando,2025-04-10 09:45:00-03:00,0.66
San Fernando,2025-04-10 10:45:00-03:00,0.59
San Fernando,2025-04-10 11:45:00-03:00,0.51
San Fernando,2025-04-10 12:45:00-03:00,0.43
San Fernando,2025-04-10 13:45:00-03:00,0.38
San Fernando,2025-04-10 14:45:00-03:00,0.33
San Fernando,2025-04-10 15:45:00-03:00,0.33
San Fernando,2025-04-10 16:45:00-03:00,0.59
San Fernando,2025-04-10 17:45:00-03:00,0.86
San Fernando,2025-04-10 18:45:00-03:00,1.04
San Fernando,2025-04-10 19:45:00-03:00,1.14
San Fernando,2025-04-10 20:45:00-03:00,1.23
San Fernando,2025-04-10 21:45:00-03:00,1.26
San Fernando,2025-04-10 22:45:00-03:00,1.13
San Fernando,2025-04-10 23:45:00-03:00,0.97
San Fernando,2025-04-11 00:45:00-03:00,0.81
San Fernando,2025-04-11 01:45:00-03:00,0.69
San Fernando,2025-04-11 02:45:00-03:00,0.5
San Fernando,2025-04-11 03:45:00-03:00,0.45
San Fernando,2025-04-11 04:45:00-03:00,0.42
San Fernando,2025-04-11 05:45:00-03:00,0.43
San Fernando,2025-04-11 06:45:00-03:00,0.58
San Fernando,2025-04-11 07:45:00-03:00,0.75
San Fernando,2025-04-11 08:45:00-03:00,0.88
San Fernando,2025-04-11 09:45:00-03:00,0.83
San Fernando,2025-04-11 10:45:00-03:00,0.73
San Fernando,2025-04-11 11:45:00-03:00,0.63
San Fernando,2025-04-11 12:45:00-03:00,0.54
San Fernando,2025-04-11 13:45:00-03:00,0.44
San Fernando,2025-04-11 14:45:00-03:00,0.38
San Fernando,2025-04-11 15:45:00-03:00,0.36
San Fernando,2025-04-11 16:45:00-03:00,0.6
San Fernando,2025-04-11 17:45:00-03:00,0.87
San Fernando,2025-04-11 18:45:00-03:00,1.04
San Fernando,2025-04-11 19:45:00-03:00,0.19
San Fernando,2025-04-11 20:45:00-03:00,1.31
San Fernando,2025-04-11 21:45:00-03:00,1.32
San Fernando,2025-04-11 22:45:00-03:00,1.19
San Fernando,2025-04-11 23:45:00-03:00,1.06
San Fernando,2025-04-12 00:45:00-03:00,0.96
San Fernando,2025-04-12 01:45:00-03:00,0.83
San Fernando,2025-04-12 02:45:00-03:00,0.72
San Fernando,2025-04-12 03:45:00-03:00,0.61
San Fernando,2025-04-12 04:45:00-03:00,0.47
San Fernando,2025-04-12 05:45:00-03:00,0.53
San Fernando,2025-04-12 06:45:00-03:00,0.56
San Fernando,2025-04-12 07:45:00-03:00,0.6
San Fernando,2025-04-12 08:45:00-03:00,0.63
San Fernando,2025-04-12 09:45:00-03:00,0.55
San Fernando,2025-04-12 10:45:00-03:00,0.46
San Fernando,2025-04-12 11:45:00-03:00,0.4
San Fernando,2025-04-12 12:45:00-03:00,0.33
San Fernando,2025-04-12 13:45:00-03:00,0.27
San Fernando,2025-04-12 14:45:00-03:00,0.21
San Fernando,2025-04-12 15:45:00-03:00,0.13
San Fernando,2025-04-12 16:45:00-03:00,0.05
San Fernando,2025-04-12 17:45:00-03:00,0.07
San Fernando,2025-04-12 18:45:00-03:00,0.36
San Fernando,2025-04-12 19:45:00-03:00,0.57
San Fernando,2025-04-12 20:45:00-03:00,0.72
San Fernando,2025-04-12 21:45:00-03:00,0.79
San Fernando,2025-04-12 22:45:00-03:00,0.8
San Fernando,2025-04-12 23:45:00-03:00,0.79
San Fernando,2025-04-13 00:45:00-03:00,0.71
San Fernando,2025-04-13 01:45:00-03:00,0.58
San Fernando,2025-04-13 02:45:00-03:00,0.36
San Fernando,2025-04-13 03:45:00-03:00,0.41
San Fernando,2025-04-13 04:45:00-03:00,0.52
San Fernando,2025-04-13 05:45:00-03:00,0.82
San Fernando,2025-04-13 06:45:00-03:00,1.02
San Fernando,2025-04-13 07:45:00-03:00,1.17
San Fernando,2025-04-13 08:45:00-03:00,1.29
San Fernando,2025-04-13 09:45:00-03:00,1.34
San Fernando,2025-04-13 10:45:00-03:00,1.33
San Fernando,2025-04-13 11:45:00-03:00,1.17
San Fernando,2025-04-13 12:45:00-03:00,1.04
San Fernando,2025-04-13 13:45:00-03:00,0.92
San Fernando,2025-04-13 14:45:00-03:00,0.82
San Fernando,2025-04-13 15:45:00-03:00,0.79
San Fernando,2025-04-13 16:45:00-03:00,1.02
San Fernando,2025-04-13 17:45:00-03:00,1.28
San Fernando,2025-04-13 18:45:00-03:00,1.47
San Fernando,2025-04-13 19:45:00-03:00,1.64
San Fernando,2025-04-13 20:45:00-03:00,1.72
San Fernando,2025-04-13 21:45:00-03:00,1.73
San Fernando,2025-04-13 22:45:00-03:00,1.67
San Fernando,2025-04-13 23:45:00-03:00,1.53
San Fernando,2025-04-14 00:45:00-03:00,1.36
San Fernando,2025-04-14 01:45:00-03:00,1.2
San Fernando,2025-04-14 02:45:00-03:00,1.08
San Fernando,2025-04-14 03:45:00-03:00,1.07
San Fernando,2025-04-14 04:45:00-03:00,1.47
San Fernando,2025-04-14 05:45:00-03:00,1.76
San Fernando,2025-04-14 06:45:00-03:00,1.91
San Fernando,2025-04-14 07:45:00-03:00,2.01
San Fernando,2025-04-14 08:45:00-03:00,2.03
San Fernando,2025-04-14 09:45:00-03:00,1.99
San Fernando,2025-04-14 10:45:00-03:00,1.83
San Fernando,2025-04-14 11:45:00-03:00,1.64
San Fernando,2025-04-14 12:45:00-03:00,1.48
San Fernando,2025-04-14 13:45:00-03:00,1.35
San Fernando,2025-04-14 14:45:00-03:00,1.21
San Fernando,2025-04-14 15:45:00-03:00,1.11
San Fernando,2025-04-14 16:45:00-03:00,1.07
San Fernando,2025-04-14 17:45:00-03:00,1.15
San Fernando,2025-04-14 18:45:00-03:00,1.38
San Fernando,2025-04-14 19:45:00-03:00,1.59
San Fernando,2025-04-14 20:45:00-03:00,1.73
San Fernando,2025-04-14 21:45:00-03:00,1.74
San Fernando,2025-04-14 22:45:00-03:00,1.73
San Fernando,2025-04-14 23:45:00-03:00,1.64
San Fernando,2025-04-15 00:45:00-03:00,1.53
San Fernando,2025-04-15 01:45:00-03:00,1.44
San Fernando,2025-04-15 02:45:00-03:00,1.32
San Fernando,2025-04-15 03:45:00-03:00,1.18
San Fernando,2025-04-15 04:45:00-03:00,1.06
San Fernando,2025-04-15 05:45:00-03:00,0.99
San Fernando,2025-04-15 06:45:00-03:00,1.2
San Fernando,2025-04-15 07:45:00-03:00,1.42
San Fernando,2025-04-15 08:45:00-03:00,1.42
San Fernando,2025-04-15 09:45:00-03:00,1.44
San Fernando,2025-04-15 10:45:00-03:00,1.38
San Fernando,2025-04-15 11:45:00-03:00,1.25
San Fernando,2025-04-15 12:45:00-03:00,1.11
San Fernando,2025-04-15 13:45:00-03:00,0.97
San Fernando,2025-04-15 14:45:00-03:00,0.86
San Fernando,2025-04-15 15:45:00-03:00,0.77
San Fernando,2025-04-15 16:45:00-03:00,0.69
San Fernando,2025-04-15 17:45:00-03:00,0.66
San Fernando,2025-04-15 18:45:00-03:00,0.85
San Fernando,2025-04-15 19:45:00-03:00,1.14
San Fernando,2025-04-15 20:45:00-03:00,1.28
San Fernando,2025-04-15 21:45:00-03:00,1.4
San Fernando,2025-04-15 22:45:00-03:00,1.46
San Fernando,2025-04-15 23:45:00-03:00,1.4
San Fernando,2025-04-16 00:45:00-03:00,1.28
San Fernando,2025-04-16 01:45:00-03:00,1.16
San Fernando,2025-04-16 02:45:00-03:00,1.06
San Fernando,2025-04-16 03:45:00-03:00,0.92
San Fernando,2025-04-16 04:45:00-03:00,0.81
San Fernando,2025-04-16 05:45:00-03:00,0.71
San Fernando,2025-04-16 06:45:00-03:00,0.75
San Fernando,2025-04-16 07:45:00-03:00,1.03
San Fernando,2025-04-16 08:45:00-03:00,1.12
San Fernando,2025-04-16 09:45:00-03:00,1.14
San Fernando,2025-04-16 10:45:00-03:00,1.18
San Fernando,2025-04-16 11:45:00-03:00,1.11
San Fernando,2025-04-16 12:45:00-03:00,1.03
San Fernando,2025-04-16 13:45:00-03:00,0.9
San Fernando,2025-04-16 14:45:00-03:00,0.82
San Fernando,2025-04-16 15:45:00-03:00,0.72
San Fernando,2025-04-16 16:45:00-03:00,0.54
San Fernando,2025-04-16 17:45:00-03:00,0.57
San Fernando,2025-04-16 18:45:00-03:00,0.58
San Fernando,2025-04-16 19:45:00-03:00,0.9
San Fernando,2025-04-16 20:45:00-03:00,1.18
San Fernando,2025-04-16 21:45:00-03:00,1.35
San Fernando,2025-04-16 22:45:00-03:00,1.4
San Fernando,2025-04-16 23:45:00-03:00,1.53
San Fernando,2025-04-17 00:45:00-03:00,1.5
San Fernando,2025-04-17 01:45:00-03:00,1.34
San Fernando,2025-04-17 02:45:00-03:00,1.13
San Fernando,2025-04-17 03:45:00-03:00,0.94
San Fernando,2025-04-17 04:45:00-03:00,0.77
San Fernando,2025-04-17 05:45:00-03:00,0.66
San Fernando,2025-04-17 06:45:00-03:00,0.57
San Fernando,2025-04-17 07:45:00-03:00,0.55
San Fernando,2025-04-17 08:45:00-03:00,0.84
San Fernando,2025-04-17 09:45:00-03:00,1.05
San Fernando,2025-04-17 10:45:00-03:00,1.08
San Fernando,2025-04-17 11:45:00-03:00,0.96
San Fernando,2025-04-17 12:45:00-03:00,0.86
San Fernando,2025-04-17 13:45:00-03:00,0.76
San Fernando,2025-04-17 14:45:00-03:00,0.67
San Fernando,2025-04-17 15:45:00-03:00,0.58
San Fernando,2025-04-17 16:45:00-03:00,0.51
San Fernando,2025-04-17 17:45:00-03:00,0.42
San Fernando,2025-04-17 18:45:00-03:00,0.37
San Fernando,2025-04-17 19:45:00-03:00,0.35
San Fernando,2025-04-17 20:45:00-03:00,0.48
San Fernando,2025-04-17 21:45:00-03:00,0.88
San Fernando,2025-04-17 22:45:00-03:00,1.06
San Fernando,2025-04-17 23:45:00-03:00,1.1
San Fernando,2025-04-18 00:45:00-03:00,1.08
San Fernando,2025-04-18 01:45:00-03:00,0.98
San Fernando,2025-04-18 02:45:00-03:00,0.84
San Fernando,2025-04-18 03:45:00-03:00,0.76
San Fernando,2025-04-18 04:45:00-03:00,0.65
San Fernando,2025-04-18 05:45:00-03:00,0.54
San Fernando,2025-04-18 06:45:00-03:00,0.44
San Fernando,2025-04-18 07:45:00-03:00,0.36
San Fernando,2025-04-18 08:45:00-03:00,0.47
San Fernando,2025-04-18 09:45:00-03:00,0.79
San Fernando,2025-04-18 10:45:00-03:00,0.85
San Fernando,2025-04-18 11:45:00-03:00,0.92
San Fernando,2025-04-18 12:45:00-03:00,0.96
San Fernando,2025-04-18 13:45:00-03:00,0.83
San Fernando,2025-04-18 14:45:00-03:00,0.68
San Fernando,2025-04-18 15:45:00-03:00,0.56
San Fernando,2025-04-18 16:45:00-03:00,0.47
San Fernando,2025-04-18 17:45:00-03:00,0.38
San Fernando,2025-04-18 18:45:00-03:00,0.31
San Fernando,2025-04-18 19:45:00-03:00,0.27
San Fernando,2025-04-18 20:45:00-03:00,0.55
San Fernando,2025-04-18 21:45:00-03:00,0.84
San Fernando,2025-04-18 22:45:00-03:00,1
San Fernando,2025-04-18 23:45:00-03:00,1.11
San Fernando,2025-04-19 00:45:00-03:00,1.2
San Fernando,2025-04-19 01:45:00-03:00,1.2
San Fernando,2025-04-19 02:45:00-03:00,1.19
San Fernando,2025-04-19 03:45:00-03:00,1.12
San Fernando,2025-04-19 04:45:00-03:00,1.07
San Fernando,2025-04-19 05:45:00-03:00,1.1
San Fernando,2025-04-19 06:45:00-03:00,1.3
San Fernando,2025-04-19 07:45:00-03:00,1.52
San Fernando,2025-04-19 08:45:00-03:00,1.72
San Fernando,2025-04-19 09:45:00-03:00,1.86
San Fernando,2025-04-19 10:45:00-03:00,1.96
San Fernando,2025-04-19 11:45:00-03:00,2.01
San Fernando,2025-04-19 12:45:00-03:00,2.02
San Fernando,2025-04-19 13:45:00-03:00,1.91
San Fernando,2025-04-19 14:45:00-03:00,1.74
San Fernando,2025-04-19 15:45:00-03:00,1.55
San Fernando,2025-04-19 16:45:00-03:00,1.41
San Fernando,2025-04-19 17:45:00-03:00,1.29
San Fernando,2025-04-19 18:45:00-03:00,1.21
San Fernando,2025-04-19 19:45:00-03:00,1.17
San Fernando,2025-04-19 20:45:00-03:00,1.19
San Fernando,2025-04-19 21:45:00-03:00,1.21
San Fernando,2025-04-19 22:45:00-03:00,1.21
San Fernando,2025-04-19 23:45:00-03:00,1.2
San Fernando,2025-04-20 00:45:00-03:00,1.12
San Fernando,2025-04-20 01:45:00-03:00,1.02
San Fernando,2025-04-20 02:45:00-03:00,0.95
San Fernando,2025-04-20 03:45:00-03:00,0.89
San Fernando,2025-04-20 04:45:00-03:00,0.88
San Fernando,2025-04-20 05:45:00-03:00,0.88
San Fernando,2025-04-20 06:45:00-03:00,1.01
San Fernando,2025-04-20 07:45:00-03:00,1.37
San Fernando,2025-04-20 08:45:00-03:00,1.6
San Fernando,2025-04-20 09:45:00-03:00,1.78
San Fernando,2025-04-20 10:45:00-03:00,1.9
San Fernando,2025-04-20 11:45:00-03:00,1.95
San Fernando,2025-04-20 12:45:00-03:00,1.91
San Fernando,2025-04-20 13:45:00-03:00,1.77
San Fernando,2025-04-20 14:45:00-03:00,1.57
